l,pi_prime_l,pi_l
0,0.007589285714285714,0.0
1,0.033035714285714286,0.0017857142857142857
2,0.05848214285714286,0.0035714285714285713
3,0.08392857142857142,0.00625
4,0.109375,0.007589285714285714
5,0.13482142857142856,0.008928571428571428
6,0.16026785714285716,0.011607142857142858
7,0.18571428571428572,0.015178571428571428
8,0.21116071428571428,0.017857142857142856
9,0.23660714285714285,0.020089285714285716
10,0.26205357142857144,0.020982142857142855
11,0.2875,0.02544642857142857
12,0.31294642857142857,0.026339285714285714
13,0.33839285714285716,0.027678571428571427
14,0.3638392857142857,0.029910714285714287
15,0.3892857142857143,0.03125
16,0.4147321428571429,0.034375
17,0.4401785714285714,0.03616071428571429
18,0.465625,0.03705357142857143
19,0.49107142857142855,0.039732142857142855
20,0.5165178571428571,0.04151785714285714
21,0.5419642857142857,0.04285714285714286
22,0.5674107142857143,0.045535714285714284
23,0.5928571428571429,0.04642857142857143
24,0.6183035714285714,0.04732142857142857
25,0.64375,0.048660714285714286
26,0.6691964285714286,0.05
27,0.6946428571428571,0.05267857142857143
28,0.7200892857142858,0.054464285714285715
29,0.7455357142857143,0.05669642857142857
30,0.7709821428571428,0.05758928571428571
31,0.7964285714285714,0.060714285714285714
32,0.821875,0.06383928571428571
33,0.8473214285714286,0.06696428571428571
34,0.8727678571428571,0.06785714285714285
35,0.8982142857142857,0.06919642857142858
36,0.9236607142857143,0.07008928571428572
37,0.9491071428571428,0.07053571428571428
38,0.9745535714285715,0.07142857142857142
39,1.0,0.07276785714285715
