l,pi_prime_l,pi_l
0,0.13496932515337423,0.02544642857142857
1,0.2331288343558282,0.05089285714285714
2,0.39263803680981596,0.07633928571428572
3,0.4601226993865031,0.10178571428571428
4,0.5705521472392638,0.12723214285714285
5,0.6625766871165644,0.15267857142857144
6,0.7668711656441718,0.178125
7,0.8159509202453987,0.20357142857142857
8,0.8711656441717791,0.22901785714285713
9,0.8773006134969326,0.2544642857142857
10,0.8957055214723927,0.2799107142857143
11,0.9079754601226994,0.3053571428571429
12,0.9079754601226994,0.3308035714285714
13,0.9141104294478528,0.35625
14,0.9202453987730062,0.38169642857142855
15,0.9386503067484663,0.40714285714285714
16,0.950920245398773,0.43258928571428573
17,0.950920245398773,0.45803571428571427
18,0.9631901840490797,0.48348214285714286
19,0.9693251533742331,0.5089285714285714
20,0.9693251533742331,0.534375
21,0.9693251533742331,0.5598214285714286
22,0.9815950920245399,0.5852678571428571
23,0.9938650306748467,0.6107142857142858
24,0.9938650306748467,0.6361607142857143
25,0.9938650306748467,0.6616071428571428
26,0.9938650306748467,0.6870535714285714
27,0.9938650306748467,0.7125
28,0.9938650306748467,0.7379464285714286
29,0.9938650306748467,0.7633928571428571
30,0.9938650306748467,0.7888392857142857
31,0.9938650306748467,0.8142857142857143
32,0.9938650306748467,0.8397321428571428
33,0.9938650306748467,0.8651785714285715
34,0.9938650306748467,0.890625
35,0.9938650306748467,0.9160714285714285
36,0.9938650306748467,0.9415178571428572
37,0.9938650306748467,0.9669642857142857
38,0.9938650306748467,0.9924107142857143
39,1.0,1.0
