l,pi_prime_l,pi_l
0,0.007589285714285714,0.0004464285714285714
1,0.033035714285714286,0.0004464285714285714
2,0.05848214285714286,0.0004464285714285714
3,0.08392857142857142,0.0004464285714285714
4,0.109375,0.0013392857142857143
5,0.13482142857142856,0.0017857142857142857
6,0.16026785714285716,0.002232142857142857
7,0.18571428571428572,0.002232142857142857
8,0.21116071428571428,0.002232142857142857
9,0.23660714285714285,0.002232142857142857
10,0.26205357142857144,0.002232142857142857
11,0.2875,0.002232142857142857
12,0.31294642857142857,0.0026785714285714286
13,0.33839285714285716,0.0026785714285714286
14,0.3638392857142857,0.0026785714285714286
15,0.3892857142857143,0.0040178571428571425
16,0.4147321428571429,0.0040178571428571425
17,0.4401785714285714,0.005357142857142857
18,0.465625,0.00625
19,0.49107142857142855,0.00625
20,0.5165178571428571,0.00625
21,0.5419642857142857,0.006696428571428571
22,0.5674107142857143,0.006696428571428571
23,0.5928571428571429,0.007142857142857143
24,0.6183035714285714,0.007589285714285714
25,0.64375,0.008482142857142856
26,0.6691964285714286,0.008928571428571428
27,0.6946428571428571,0.008928571428571428
28,0.7200892857142858,0.008928571428571428
29,0.7455357142857143,0.009821428571428571
30,0.7709821428571428,0.010714285714285714
31,0.7964285714285714,0.010714285714285714
32,0.821875,0.010714285714285714
33,0.8473214285714286,0.010714285714285714
34,0.8727678571428571,0.010714285714285714
35,0.8982142857142857,0.011607142857142858
36,0.9236607142857143,0.011607142857142858
37,0.9491071428571428,0.012946428571428572
38,0.9745535714285715,0.013392857142857142
39,1.0,0.013392857142857142
